gvelasquez     2010-02-23 12:37:23 0 D
adelgadillo    2010-02-23 12:37:30 0 D
agarcia        2010-02-23 12:37:52 0 D
oantezana      2010-02-23 12:38:01 0 D
rcordova       2010-02-23 12:38:15 0 D
layllon        2010-02-23 12:38:38 0 D
hvillegas      2010-02-23 12:38:52 0 D
amachaca       2010-02-23 12:39:18 0 D
ovelarde       2010-02-23 12:40:25 0 D
cvalverde      2010-02-23 12:40:32 0 D
rmijaria       2010-02-23 12:40:42 0 D
rsalamanca     2010-02-23 12:40:48 0 D
mcarvajal      2010-02-23 12:41:07 0 D
jpinto         2010-02-23 12:41:16 0 D
jquispe        2010-02-23 12:41:23 0 D
rclaure        2010-02-23 12:41:29 0 D
icvargas       2010-02-23 12:41:40 0 D
dhuarita       2010-02-23 12:41:58 0 D
jaquispe       2010-02-23 12:42:09 0 D
acamacho       2010-02-23 12:43:11 0 D
dmitma         2010-02-23 12:43:22 0 D
smarino        2010-02-23 12:43:29 0 D
rbaldelomar    2010-02-23 12:43:35 0 D
rpereira       2010-02-23 12:43:49 0 D
rayala         2010-02-23 12:45:18 0 D
dsuarez        2010-02-23 12:45:50 0 D
esolis         2010-02-23 12:45:59 0 D
cacastellon    2010-02-23 12:46:10 0 D
dcastro        2010-02-23 12:46:18 0 D
rvia           2010-02-23 12:46:48 0 D
mzambrana      2010-02-23 12:47:35 0 D
jrivera        2010-02-23 12:47:44 0 D
cmollo         2010-02-23 12:48:41 0 D
mayma          2010-02-23 12:49:20 0 D
jdurandal      2010-02-23 12:50:44 0 D
lsuarez        2010-02-23 12:54:56 0 D
rchumacero     2010-02-23 12:59:59 0 D
frojas         2010-02-23 13:00:13 0 D
vsoliz         2010-02-23 13:00:21 0 D
cflores        2010-02-23 13:05:48 0 D
rarteaga       2010-02-23 13:12:44 D D
jcarvallo      2010-02-23 13:21:57 0 D
smarino        2010-02-23 13:22:30 D D
dmitma         2010-02-23 13:22:40 D D
acamacho       2010-02-23 13:24:30 D D
cvalverde      2010-02-23 13:29:53 D D
jguarachi      2010-02-23 13:33:08 0 D
tsoliz         2010-02-23 13:42:10 0 D
hvillegas      2010-02-23 13:47:35 D D
randia         2010-02-23 13:50:40 D D
jguarachi      2010-02-23 14:05:16 D D
tsoliz         2010-02-23 14:08:36 D D
gcastro        2010-02-23 14:12:14 D D
cacastellon    2010-02-23 14:13:17 D D
rpereira       2010-02-23 14:16:30 D D
rmedrano       2010-02-23 14:18:45 D D
ebeltran       2010-02-23 14:20:34 D D
rvia           2010-02-23 14:22:45 D D
rayala         2010-02-23 14:23:06 D D
rbueno         2010-02-23 14:23:24 D D
oantezana      2010-02-23 14:24:38 D D
drocabado      2010-02-23 14:24:49 D D
layllon        2010-02-23 14:24:55 D D
jcarvallo      2010-02-23 14:25:05 D D
rcordova       2010-02-23 14:25:31 D D
esanabria      2010-02-23 14:26:17 D D
dpalomino      2010-02-23 14:26:25 D
mgonzalez      2010-02-23 14:27:15 D D
schopitea      2010-02-23 14:27:21 D D
farnez         2010-02-23 14:27:52 D D
rrodriguez     2010-02-23 14:29:02 D D
ecaero         2010-02-23 14:29:27 D D
cmollo         2010-02-23 14:30:01 D D
wrioja         2010-02-23 14:30:09 D D
msinaniz       2010-02-23 14:30:16 D D
rclaure        2010-02-23 14:30:23 D D
jsiles         2010-02-23 14:30:33 D D
frojas         2010-02-23 14:30:55 D D
mzambrana      2010-02-23 14:31:43 D D
sclaros        2010-02-23 14:31:49 D D
gvelasquez     2010-02-23 14:31:56 D D
plema          2010-02-23 14:33:38 D D
mayma          2010-02-23 14:33:54 D D
jfuertes       2010-02-23 14:34:02 D D
kmontalvo      2010-02-23 14:34:52 D D
jrivera        2010-02-23 14:34:58 D D
lsuarez        2010-02-23 14:35:05 D D
rchumacero     2010-02-23 14:35:20 D D
rbaldelomar    2010-02-23 14:35:52 D D
adelgadillo    2010-02-23 14:36:01 D D
mmejia         2010-02-23 14:37:14 D D
galcala        2010-02-23 14:37:23 D D
amachaca       2010-02-23 14:39:05 D D
csubieta       2010-02-23 14:39:12 D D
fvega          2010-02-23 14:39:20 D D
asaldias       2010-02-23 14:39:29 D D
cquiroga       2010-02-23 14:39:36 D D
dsuarez        2010-02-23 14:41:43 D D
icvargas       2010-02-23 14:41:53 D D
jquispe        2010-02-23 14:42:05 D D
dcastro        2010-02-23 14:42:12 D D
krojas         2010-02-23 14:43:19 D D
bgranado       2010-02-23 14:43:46 D D
jmita          2010-02-23 14:45:04 D D
mcarvajal      2010-02-23 14:45:10 D D
scastro        2010-02-23 14:45:42 D D
ovelarde       2010-02-23 14:46:59 D D
agarcia        2010-02-23 14:48:53 D D
avillegas      2010-02-23 14:50:00 D D
fprudencio     2010-02-23 14:50:11 D D
gherbas        2010-02-23 14:58:33 D D
cflores        2010-02-23 14:59:03 D D
mmontano       2010-02-23 15:01:35 D D
agarcia        2010-02-23 18:24:16 0 D
randia         2010-02-23 18:24:37 0 D
rpereira       2010-02-23 18:30:26 0 D
rbueno         2010-02-23 18:30:52 0 D
drocabado      2010-02-23 18:33:47 0 D
mayma          2010-02-23 18:33:58 0 D
mmontano       2010-02-23 18:34:07 0 D
csubieta       2010-02-23 18:35:26 0 D
jsiles         2010-02-23 18:35:34 0 D
kmontalvo      2010-02-23 18:35:41 0 D
rbaldelomar    2010-02-23 18:36:01 0 D
acamacho       2010-02-23 18:38:01 0 D
mgonzalez      2010-02-23 18:38:11 0 D
ovelarde       2010-02-23 18:38:20 0 D
rcordova       2010-02-23 18:38:31 0 D
hvillegas      2010-02-23 18:39:17 0 D
rclaure        2010-02-23 18:39:34 0 D
oferrufino     2010-02-23 18:40:41 0 D
smarino        2010-02-23 18:44:04 0 D
rmijaria       2010-02-23 18:46:09 0 D
oantezana      2010-02-23 18:46:42 0 D
layllon        2010-02-23 18:47:25 0 D
krojas         2010-02-23 18:48:26 0 D
plema          2010-02-23 18:49:17 0 D
rvia           2010-02-23 18:49:31 0 D
lsuarez        2010-02-23 18:50:11 0 D
jfuertes       2010-02-23 18:50:24 0 D
cvalverde      2010-02-23 18:50:42 0 D
jbaptista      2010-02-23 18:53:18 0 D
schopitea      2010-02-23 18:53:23 0 D
jdurandal      2010-02-23 18:53:33 0 D
mcarvajal      2010-02-23 18:54:24 0 D
ebeltran       2010-02-23 18:54:44 0 D
wrioja         2010-02-23 18:55:09 0 D
rrodriguez     2010-02-23 18:56:03 0 D
ecaero         2010-02-23 18:57:03 0 D
gcastro        2010-02-23 18:57:30 0 D
fvega          2010-02-23 18:57:43 0 D
msinaniz       2010-02-23 18:58:34 0 D
adelgadillo    2010-02-23 18:59:19 0 D
tsoliz         2010-02-23 18:59:35 0 D
galcala        2010-02-23 18:59:54 0 D
amachaca       2010-02-23 19:00:02 0 D
jrivera        2010-02-23 19:02:56 0 D
mzambrana      2010-02-23 19:03:02 0 D
rsalamanca     2010-02-23 19:04:07 0 D
dmitma         2010-02-23 19:05:56 0 D
dsuarez        2010-02-23 19:06:24 0 D
esanabria      2010-02-23 19:09:06 D D
dhuarita       2010-02-23 19:15:39 0 D
esolis         2010-02-23 19:16:26 D D
cacastellon    2010-02-23 19:21:54 0 D
jquispe        2010-02-23 19:22:02 0 D
dcastro        2010-02-23 19:22:09 0 D
jpinto         2010-02-23 19:22:15 0 D
icvargas       2010-02-23 19:30:26 0 D
jaquispe       2010-02-23 19:31:36 0 D
cflores        2010-02-23 19:59:34 0 D
rmedrano       2010-02-23 20:01:40 0 D
jcarvallo      2010-02-23 20:01:50 0 D
scastro        2010-02-23 20:06:25 0 D
sclaros        2010-02-23 20:14:11 0 D
gvelasquez     2010-02-23 20:14:18 0 D
rarteaga       2010-02-23 20:22:51 0 D
rchumacero     2010-02-23 20:22:58 0 D
cmollo         2010-02-23 20:23:05 0 D
vsoliz         2010-02-23 20:23:40 0 D
gherbas        2010-02-23 21:02:32 D D
jcardenas      2010-02-23 21:13:14 D D
farnez         2010-02-23 21:13:25 0 D
jcardenas      2010-02-23 21:13:41 0 D
jguarachi      2010-02-23 21:55:24 D D
avillegas      2010-02-23 21:55:40 0 D
lsuarez        2010-02-24 07:45:27 D D
mayma          2010-02-24 07:45:52 D D
mayma          2010-02-24 07:45:57 D D
rbueno         2010-02-24 08:03:27 D D
rchumacero     2010-02-24 08:08:26 D D
ecaero         2010-02-24 08:09:08 D D
tsoliz         2010-02-24 08:11:22 D D
msinaniz       2010-02-24 08:15:33 D D
rarteaga       2010-02-24 08:17:49 D D
krojas         2010-02-24 08:20:10 D D
jdurandal      2010-02-24 08:20:19 D D
dpalomino      2010-02-24 08:20:29 D D
pclaros        2010-02-24 08:20:37 D D
jrivera        2010-02-24 08:21:27 D D
agarcia        2010-02-24 08:21:43 D D
dsuarez        2010-02-24 08:22:42 D D
mzambrana      2010-02-24 08:23:19 D D
oantezana      2010-02-24 08:24:06 D D
rcordova       2010-02-24 08:24:40 D D
oferrufino     2010-02-24 08:26:43 D D
rpereira       2010-02-24 08:26:53 D D
dmitma         2010-02-24 08:28:16 D D
frojas         2010-02-24 08:28:26 D D
farnez         2010-02-24 08:29:16 D D
jbaptista      2010-02-24 08:30:15 D D
mmejia         2010-02-24 08:30:31 D D
sclaros        2010-02-24 08:30:36 D D
drocabado      2010-02-24 08:30:52 D D
hvillegas      2010-02-24 08:31:00 D D
jcarvallo      2010-02-24 08:31:07 D D
dcastro        2010-02-24 08:31:15 D D
avillegas      2010-02-24 08:31:43 D D
gherbas        2010-02-24 08:31:56 D D
schopitea      2010-02-24 08:32:04 D D
kmontalvo      2010-02-24 08:32:10 D D
ebeltran       2010-02-24 08:32:30 D D
rclaure        2010-02-24 08:33:40 D D
adelgadillo    2010-02-24 08:33:49 D D
gvelasquez     2010-02-24 08:33:56 D D
aponce         2010-02-24 08:34:02 D D
asaldias       2010-02-24 08:34:14 D D
jsiles         2010-02-24 08:34:21 D D
amachaca       2010-02-24 08:35:13 D D
bgranado       2010-02-24 08:35:24 D D
mcarvajal      2010-02-24 08:35:31 D D
rrodriguez     2010-02-24 08:35:38 D D
scastro        2010-02-24 08:36:06 D D
plema          2010-02-24 08:36:34 D D
icvargas       2010-02-24 08:37:51 D D
esanabria      2010-02-24 08:38:15 D D
layllon        2010-02-24 08:39:40 D D
acamacho       2010-02-24 08:39:47 D D
jguarachi      2010-02-24 08:40:32 D D
ovelarde       2010-02-24 08:41:31 D D
rbaldelomar    2010-02-24 08:42:13 D D
jquispe        2010-02-24 08:42:20 D D
smarino        2010-02-24 08:42:35 D D
dhuarita       2010-02-24 08:42:44 D D
cacastellon    2010-02-24 08:43:12 D D
wrioja         2010-02-24 08:43:20 D D
fvega          2010-02-24 08:44:55 D D
rmedrano       2010-02-24 08:45:03 D D
mmontano       2010-02-24 08:45:54 D D
cvalverde      2010-02-24 08:49:20 D D
csubieta       2010-02-24 08:50:36 D D
esolis         2010-02-24 08:52:21 D D
mgonzalez      2010-02-24 08:55:52 D D
gcastro        2010-02-24 09:09:08 D D
hvillegas      2010-02-24 12:30:07 0 D
jfuertes       2010-02-24 12:30:14 0 D
aencinas       2010-02-24 12:30:23 0 D
rbueno         2010-02-24 12:30:30 0 D
oantezana      2010-02-24 12:30:49 0 D
wrioja         2010-02-24 12:31:08 0 D
mgonzalez      2010-02-24 12:31:23 0 D
ebeltran       2010-02-24 12:31:47 0 D
rcordova       2010-02-24 12:31:56 0 D
drocabado      2010-02-24 12:32:06 0 D
mmontano       2010-02-24 12:32:13 0 D
sclaros        2010-02-24 12:32:44 0 D
tsoliz         2010-02-24 12:32:53 0 D
avillegas      2010-02-24 12:33:01 0 D
mmejia         2010-02-24 12:33:13 0 D
rrodriguez     2010-02-24 12:33:35 0 D
esanabria      2010-02-24 12:33:41 D D
randia         2010-02-24 12:33:48 0 D
csubieta       2010-02-24 12:33:55 0 D
jsiles         2010-02-24 12:34:04 0 D
layllon        2010-02-24 12:34:11 D D
scastro        2010-02-24 12:34:29 0 D
schopitea      2010-02-24 12:34:37 0 D
plema          2010-02-24 12:34:46 D D
plema          2010-02-24 12:34:52 0 D
jbaptista      2010-02-24 12:35:00 0 D
ovelarde       2010-02-24 12:35:07 0 D
rpereira       2010-02-24 12:35:15 0 D
galcala        2010-02-24 12:36:01 0 D
farnez         2010-02-24 12:36:45 0 D
rclaure        2010-02-24 12:36:52 0 D
cvalverde      2010-02-24 12:36:58 0 D
agarcia        2010-02-24 12:37:29 0 D
kmontalvo      2010-02-24 12:37:38 0 D
rayala         2010-02-24 12:37:47 0 D
amachaca       2010-02-24 12:39:13 0 D
mzambrana      2010-02-24 12:39:22 0 D
jrivera        2010-02-24 12:39:29 0 D
oferrufino     2010-02-24 12:39:43 0 D
dmitma         2010-02-24 12:39:52 0 D
fvega          2010-02-24 12:40:23 0 D
mayma          2010-02-24 12:40:37 0 D
jquispe        2010-02-24 12:41:00 0 D
dcastro        2010-02-24 12:41:09 0 D
rmijaria       2010-02-24 12:41:42 0 D
rsalamanca     2010-02-24 12:41:53 0 D
rvia           2010-02-24 12:42:09 0 D
dhuarita       2010-02-24 12:42:17 0 D
cacastellon    2010-02-24 12:42:25 0 D
rchumacero     2010-02-24 12:42:33 0 D
msinaniz       2010-02-24 12:42:41 0 D
ecaero         2010-02-24 12:42:46 0 D
jguarachi      2010-02-24 12:43:23 0 D
acamacho       2010-02-24 12:43:46 0 D
rbaldelomar    2010-02-24 12:43:54 0 D
jdurandal      2010-02-24 12:46:48 0 D
icvargas       2010-02-24 12:47:27 0 D
esolis         2010-02-24 12:47:34 0 D
jcarvallo      2010-02-24 12:49:22 0 D
mcarvajal      2010-02-24 12:49:31 0 D
gcastro        2010-02-24 12:50:38 0 D
rmedrano       2010-02-24 12:53:35 0 D
smarino        2010-02-24 12:55:14 D D
krojas         2010-02-24 12:55:21 0 D
cmollo         2010-02-24 12:55:53 0 D
vsoliz         2010-02-24 12:55:58 0 D
lsuarez        2010-02-24 12:56:44 0 D
rmedrano       2010-02-24 12:57:56 D D
dsuarez        2010-02-24 13:03:48 0 D
dmitma         2010-02-24 13:23:19 D D
smarino        2010-02-24 13:24:59 D D
jguarachi      2010-02-24 13:30:37 D D
acamacho       2010-02-24 13:50:17 D D
hvillegas      2010-02-24 13:52:20 D D
cacastellon    2010-02-24 14:05:40 D D
cvalverde      2010-02-24 14:09:53 D D
jsolorzano     2010-02-24 14:20:03 D D
layllon        2010-02-24 14:20:12 D D
rvia           2010-02-24 14:20:55 D D
jcarvallo      2010-02-24 14:22:04 D D
ebeltran       2010-02-24 14:22:50 D D
oantezana      2010-02-24 14:22:59 D D
oantezana      2010-02-24 14:23:06 D D
rchumacero     2010-02-24 14:23:15 D D
rmijaria       2010-02-24 14:24:25 D D
wrioja         2010-02-24 14:26:08 D D
rcordova       2010-02-24 14:26:15 D D
rbueno         2010-02-24 14:26:51 D D
farnez         2010-02-24 14:27:41 D D
amachaca       2010-02-24 14:27:47 D D
rsalamanca     2010-02-24 14:27:53 D D
jfuertes       2010-02-24 14:28:01 D D
rclaure        2010-02-24 14:28:08 D D
schopitea      2010-02-24 14:28:40 D D
rpereira       2010-02-24 14:28:48 D D
sclaros        2010-02-24 14:29:13 D D
jdurandal      2010-02-24 14:30:09 D D
mayma          2010-02-24 14:30:48 D D
adelgadillo    2010-02-24 14:31:00 D D
jsiles         2010-02-24 14:31:07 D D
asaldias       2010-02-24 14:31:24 D D
plema          2010-02-24 14:31:33 D D
tsoliz         2010-02-24 14:32:31 D D
fvega          2010-02-24 14:32:36 D D
jrivera        2010-02-24 14:32:42 D D
ecaero         2010-02-24 14:32:48 D D
rrodriguez     2010-02-24 14:33:16 D D
galcala        2010-02-24 14:33:24 D D
msinaniz       2010-02-24 14:34:20 D D
rbaldelomar    2010-02-24 14:34:27 D D
jbaptista      2010-02-24 14:34:41 D D
csubieta       2010-02-24 14:36:04 D D
mzambrana      2010-02-24 14:36:09 D D
ovelarde       2010-02-24 14:36:16 D D
scastro        2010-02-24 14:36:32 D D
esanabria      2010-02-24 14:36:38 D D
agarcia        2010-02-24 14:36:46 D D
drocabado      2010-02-24 14:36:55 D D
jquispe        2010-02-24 14:37:02 D D
dcastro        2010-02-24 14:37:08 D D
gcastro        2010-02-24 14:37:18 D D
krojas         2010-02-24 14:38:11 D D
mmejia         2010-02-24 14:38:17 D D
kmontalvo      2010-02-24 14:38:23 D D
dhuarita       2010-02-24 14:39:41 D D
esolis         2010-02-24 14:40:27 D D
dsuarez        2010-02-24 14:40:35 D D
cflores        2010-02-24 14:41:34 0 D
cflores        2010-02-24 14:41:42 D D
icvargas       2010-02-24 14:41:52 D D
dpalomino      2010-02-24 14:42:43 D D
lsuarez        2010-02-24 14:43:04 D D
jcardenas      2010-02-24 14:43:12 D D
avillegas      2010-02-24 14:44:40 D D
mmontano       2010-02-24 14:47:15 D D
frojas         2010-02-24 14:53:48 D D
lsuarez        2010-02-24 15:33:03 D D
lsuarez        2010-02-24 16:10:34 D D
randia         2010-02-24 18:27:59 D D
rclaure        2010-02-24 18:30:06 0 D
ovelarde       2010-02-24 18:31:05 0 D
rbueno         2010-02-24 18:31:29 0 D
ebeltran       2010-02-24 18:31:43 0 D
amachaca       2010-02-24 18:31:52 0 D
smarino        2010-02-24 18:32:17 0 D
agarcia        2010-02-24 18:34:02 0 D
cvalverde      2010-02-24 18:34:38 0 D
oferrufino     2010-02-24 18:35:43 0 D
mmontano       2010-02-24 18:36:19 0 D
layllon        2010-02-24 18:37:31 0 D
mmejia         2010-02-24 18:38:11 0 D
kmontalvo      2010-02-24 18:38:18 0 D
csubieta       2010-02-24 18:38:26 0 D
jsiles         2010-02-24 18:38:35 0 D
esanabria      2010-02-24 18:38:56 D D
drocabado      2010-02-24 18:39:05 0 D
lsuarez        2010-02-24 18:42:30 0 D
acamacho       2010-02-24 18:43:50 0 D
rayala         2010-02-24 18:44:09 0 D
schopitea      2010-02-24 18:45:28 0 D
rcordova       2010-02-24 18:46:11 0 D
avillegas      2010-02-24 18:47:57 0 D
rbaldelomar    2010-02-24 18:48:13 0 D
msinaniz       2010-02-24 18:48:31 D D
wrioja         2010-02-24 18:49:19 0 D
krojas         2010-02-24 18:49:27 0 D
scastro        2010-02-24 18:53:53 0 D
dpalomino      2010-02-24 18:56:00 0 D
jcarvallo      2010-02-24 18:56:09 0 D
plema          2010-02-24 18:59:17 0 D
esolis         2010-02-24 19:00:19 0 D
cflores        2010-02-24 19:01:25 0 D
mcarvajal      2010-02-24 19:03:33 0 D
galcala        2010-02-24 19:04:34 0 D
gcastro        2010-02-24 19:07:45 0 D
jdurandal      2010-02-24 19:12:34 0 D
jfuertes       2010-02-24 19:12:43 0 D
tsoliz         2010-02-24 19:13:13 0 D
rchumacero     2010-02-24 19:14:01 0 D
hvillegas      2010-02-24 19:15:54 0 D
gherbas        2010-02-24 19:16:44 0 D
icvargas       2010-02-24 19:17:34 0 D
dhuarita       2010-02-24 19:18:41 0 D
jquispe        2010-02-24 19:18:48 0 D
dcastro        2010-02-24 19:18:55 0 D
jpinto         2010-02-24 19:19:05 D D
ecaero         2010-02-24 19:19:14 0 D
jbaptista      2010-02-24 19:22:04 0 D
rrodriguez     2010-02-24 19:34:58 0 D
dsuarez        2010-02-24 19:42:48 0 D
oantezana      2010-02-24 19:47:18 0 D
jcardenas      2010-02-24 19:52:37 0 D
rmedrano       2010-02-24 19:52:47 0 D
farnez         2010-02-24 19:52:54 0 D
sclaros        2010-02-24 19:54:08 0 D
cmollo         2010-02-24 19:54:17 0 D
adelgadillo    2010-02-24 20:02:17 0 D
vsoliz         2010-02-24 20:27:06 0 D
frojas         2010-02-24 20:27:12 0 D
asaldias       2010-02-24 20:27:58 D D
mzambrana      2010-02-24 21:26:58 0 D
jrivera        2010-02-24 21:27:06 0 D
jguarachi      2010-02-24 21:30:53 0 D
cmollo         2010-02-24 21:39:17 0 D
lsuarez        2010-02-25 07:30:55 D D
ecaero         2010-02-25 07:56:04 D D
rchumacero     2010-02-25 07:58:36 D D
rbueno         2010-02-25 08:00:53 D D
agarcia        2010-02-25 08:11:09 D D
jrivera        2010-02-25 08:12:57 D D
rpereira       2010-02-25 08:17:32 D D
farnez         2010-02-25 08:18:12 D D
tsoliz         2010-02-25 08:19:18 D D
jguarachi      2010-02-25 08:19:24 D D
jdurandal      2010-02-25 08:20:34 D D
cacastellon    2010-02-25 08:22:29 D D
rmedrano       2010-02-25 08:22:43 D D
amachaca       2010-02-25 08:23:56 D D
hvillegas      2010-02-25 08:24:41 D D
oantezana      2010-02-25 08:25:12 D D
dpalomino      2010-02-25 08:25:20 D D
sclaros        2010-02-25 08:26:02 D D
rsalamanca     2010-02-25 08:26:09 D D
rvia           2010-02-25 08:26:39 D D
mayma          2010-02-25 08:26:51 D D
jpinto         2010-02-25 08:27:39 D D
scastro        2010-02-25 08:28:14 D D
jbaptista      2010-02-25 08:28:22 D D
schopitea      2010-02-25 08:28:35 D D
rcordova       2010-02-25 08:28:53 D D
ebeltran       2010-02-25 08:29:26 D D
esanabria      2010-02-25 08:30:03 D D
avillegas      2010-02-25 08:30:13 D D
rayala         2010-02-25 08:31:15 D D
msinaniz       2010-02-25 08:31:38 D D
drocabado      2010-02-25 08:32:27 D D
jsiles         2010-02-25 08:32:45 D D
wrioja         2010-02-25 08:33:12 D D
rrodriguez     2010-02-25 08:33:22 D D
jcarvallo      2010-02-25 08:33:57 D D
kmontalvo      2010-02-25 08:34:05 D D
mzambrana      2010-02-25 08:34:11 D D
plema          2010-02-25 08:35:41 D D
adelgadillo    2010-02-25 08:35:51 D D
layllon        2010-02-25 08:36:23 D D
rmijaria       2010-02-25 08:36:32 D D
jquispe        2010-02-25 08:36:39 D D
rclaure        2010-02-25 08:36:47 D D
mcarvajal      2010-02-25 08:37:01 D D
galcala        2010-02-25 08:37:57 D D
oferrufino     2010-02-25 08:38:04 D D
rbaldelomar    2010-02-25 08:39:30 D D
ovelarde       2010-02-25 08:39:47 D D
dcastro        2010-02-25 08:39:55 D D
mmejia         2010-02-25 08:40:29 D D
aponce         2010-02-25 08:40:36 D D
dmitma         2010-02-25 08:41:35 D D
icvargas       2010-02-25 08:42:19 D D
vsoliz         2010-02-25 08:43:44 D D
mmontano       2010-02-25 08:43:52 D D
mmontano       2010-02-25 08:43:59 D D
smarino        2010-02-25 08:44:31 D D
esolis         2010-02-25 08:45:25 D D
csubieta       2010-02-25 08:45:33 D D
cvalverde      2010-02-25 08:46:33 D D
dsuarez        2010-02-25 08:47:35 D D
acamacho       2010-02-25 08:47:42 D D
vdaga          2010-02-25 08:48:58 D D
gcastro        2010-02-25 08:49:10 D D
fvega          2010-02-25 08:56:07 D D
krojas         2010-02-25 08:58:33 D D
lsuarez        2010-02-25 10:40:49 D D
avillegas      2010-02-25 12:30:06 D D
jfuertes       2010-02-25 12:30:53 0 D
mmontano       2010-02-25 12:31:03 0 D
drocabado      2010-02-25 12:31:15 0 D
rbueno         2010-02-25 12:31:23 D D
rbueno         2010-02-25 12:31:40 0 D
gcastro        2010-02-25 12:31:54 0 D
esanabria      2010-02-25 12:32:04 0 D
cacastellon    2010-02-25 12:32:14 0 D
galcala        2010-02-25 12:32:42 0 D
rrodriguez     2010-02-25 12:32:51 0 D
scastro        2010-02-25 12:33:17 0 D
